Towncenter,Suburb,Postcode
North Canberra,Acton,2601
North Canberra,Ainslie,2602
Gungahlin,Amaroo,2914
Belconnen,Aranda,2614
Tuggeranong,Banks,2906
South Canberra,Barton,2600
Belconnen,Belconnen,2616
Gungahlin,Bonner,2914
Tuggeranong,Bonython,2905
North Canberra,Braddon,2612
Belconnen,Bruce,2617
Tuggeranong,Calwell,2905
North Canberra,Campbell,2612
South Canberra,Capital Hill,2600
Gungahlin,Casey,2913
Weston Creek,Chapman,2611
Belconnen,Charnwood,2615
Woden Valley,Chifley,2606
Tuggeranong,Chisholm,2905
North Canberra,City,2601
Tuggeranong,Conder,2906
Belconnen,Cook,2614
Molonglo Valley,Coombs,2611
Gungahlin,Crace,2911
Woden Valley,Curtin,2605
South Canberra,Deakin,2600
Molonglo Valley,Denman Prospect,2611
North Canberra,Dickson,2602
North Canberra,Downer,2602
Weston Creek,Duffy,2611
Belconnen,Dunlop,2615
Belconnen,Evatt,2617
Tuggeranong,Fadden,2904
Woden Valley,Farrer,2607
Weston Creek,Fisher,2611
Belconnen,Florey,2615
Belconnen,Flynn,2615
Gungahlin,Forde,2914
South Canberra,Forrest,2603
Gungahlin,Franklin,2913
Belconnen,Fraser,2615
South Canberra,Fyshwick,2609
Woden Valley,Garran,2605
Tuggeranong,Gilmore,2905
Belconnen,Giralang,2617
Tuggeranong,Gordon,2906
Tuggeranong,Gowrie,2904
Tuggeranong,Greenway,2900
South Canberra,Griffith,2603
Gungahlin,Gungahlin,2912
North Canberra,Hackett,2602
Gungahlin,Harrison,2914
Belconnen,Hawker,2614
Belconnen,Higgins,2615
Weston Creek,Holder,2611
Belconnen,Holt,2615
Woden Valley,Hughes,2605
Tuggeranong,Hume,2620
Woden Valley,Isaacs,2607
Tuggeranong,Isabella Plains,2905
Gungahlin,Jacka,2914
Belconnen,Kaleen,2617
Tuggeranong,Kambah,2902
South Canberra,Kingston,2604
Belconnen,Latham,2615
Belconnen,Lawson,2617
North Canberra,Lyneham,2602
Woden Valley,Lyons,2606
Tuggeranong,Macarthur,2904
Belconnen,Macgregor,2615
Belconnen,Macnamara,2615
Belconnen,Macquarie,2614
Woden Valley,Mawson,2607
Belconnen,McKellar,2617
Belconnen,Melba,2615
Gungahlin,Mitchell,2911
Molonglo Valley,Molonglo,0
Tuggeranong,Monash,2904
Gungahlin,Moncrieff,2914
South Canberra,Narrabundah,2604
Gungahlin,Ngunnawal,2913
Gungahlin,Nicholls,2913
North Canberra,O'Connor,2602
Woden Valley,O'Malley,2606
Tuggeranong,Oxley,2903
Belconnen,Page,2614
Gungahlin,Palmerston,2913
South Canberra,Parkes,2600
Woden Valley,Pearce,2607
Woden Valley,Phillip,2606
South Canberra,Red Hill,2603
North Canberra,Reid,2612
Tuggeranong,Richardson,2905
Weston Creek,Rivett,2611
North Canberra,Russell,2600
Belconnen,Scullin,2614
Belconnen,Spence,2615
Weston Creek,Stirling,2611
Belconnen,Strathnairn,2615
Gungahlin,Taylor,2913
Tuggeranong,Theodore,2905
Gungahlin,Throsby,2914
Woden Valley,Torrens,2607
North Canberra,Turner,2612
Tuggeranong,Wanniassa,2903
Weston Creek,Waramanga,2611
North Canberra,Watson,2602
Belconnen,Weetangera,2614
Weston Creek,Weston,2611
Molonglo Valley,Whitlam,0
Molonglo Valley,Wright,2611
South Canberra,Yarralumla,2600
